instance	category	node_limit	time_limit_sec	hard_kill_sec	observed_nodes	observed_elapsed_sec	observed_result
bpc_n10_c100_sd42_random_uniform	concluded_fast	0	120	300	0	0.09	Optimal solution found
bpc_n12_c150_sd42_clique_diverse	concluded_fast	0	120	300	0	0.02	Optimal solution found
bpc_n15_c100_sd137_bipartite_uniform	concluded_slow	171000	180	300	57000	172.17	Optimal solution found
bpc_n15_c120_sd42_geometric_tight	concluded_fast	0	120	300	0	0.03	Optimal solution found
bpc_n20_c150_sd42_random_diverse	concluded_fast	0	120	300	0	0.05	Optimal solution found
bpc_n25_c200_sd137_clique_uniform	concluded_fast	0	120	300	0	0.05	Optimal solution found
bpc_n30_c180_sd42_geometric_tight	not_concluded	13536	120	300	67686	300.03	Stopped on time limit
bpc_search_n13_c100_sd42_bipartite_d0.25_uniform	concluded_fast	87699	120	300	29233	26.94	Optimal solution found
bpc_search_n13_c100_sd42_bipartite_d0.2_uniform	concluded_fast	80004	120	300	26668	27.57	Optimal solution found
bpc_search_n13_c100_sd42_bipartite_d0.3_uniform	concluded_fast	30603	120	300	10201	27.67	Optimal solution found
bpc_search_n13_c120_sd137_random_d0.3_uniform	concluded_fast	8640	120	300	2880	10.04	Optimal solution found
bpc_search_n13_c150_sd137_random_d0.2_uniform	concluded_fast	71784	120	300	23928	16.42	Optimal solution found
bpc_search_n14_c100_sd7_bipartite_d0.3_uniform	concluded_fast	75147	120	300	25049	39	Optimal solution found
bpc_search_n14_c120_sd42_random_d0.2_uniform	concluded_fast	249267	120	300	83089	59.74	Optimal solution found
bpc_search_n14_c120_sd7_bipartite_d0.3_uniform	concluded_fast	65451	120	300	21817	58.01	Optimal solution found
bpc_search_n14_c150_sd7_bipartite_d0.3_uniform	concluded_fast	55989	120	300	18663	35.17	Optimal solution found
bpc_search_n15_c100_sd137_random_d0.25_uniform	concluded_fast	11112	120	300	3704	24.19	Optimal solution found
bpc_search_n15_c100_sd137_random_d0.2_uniform	concluded_fast	22062	120	300	7354	38.09	Optimal solution found
bpc_search_n16_c100_sd7_random_d0.25_uniform	concluded_fast	29250	120	300	9750	53.92	Optimal solution found
bpc_search_n16_c100_sd7_random_d0.3_uniform	concluded_fast	12684	120	300	4228	33.37	Optimal solution found
bpc_search_n16_c150_sd42_random_d0.25_uniform	concluded_fast	15762	120	300	5254	33.83	Optimal solution found
cvrp_asymmetric	concluded_fast	354	120	300	118	1.18	Optimal solution found
cvrp_capacity_loose	concluded_fast	1968	120	300	656	4.93	Optimal solution found
cvrp_capacity_medium	not_concluded	115559	120	300	578024	300.12	Stopped on time limit
cvrp_capacity_tight	concluded_fast	606	120	300	202	2.65	Problem proven infeasible
cvrp_demand_outliers	concluded_fast	49362	120	300	16454	13.58	Optimal solution found
cvrp_demand_skewed	concluded_fast	2376	120	300	792	3.73	Optimal solution found
cvrp_demand_uniform	concluded_fast	5457	120	300	1819	4.76	Optimal solution found
cvrp_dense_uniform	concluded_fast	20700	120	300	6900	3.11	Optimal solution found
cvrp_few_large	concluded_fast	0	120	300	0	0	Optimal solution found
cvrp_geo_clustered	not_concluded	19974	120	300	99972	300.3	Stopped on time limit
cvrp_geo_ring	concluded_fast	125385	120	300	41795	21.11	Optimal solution found
cvrp_high_utilization	not_concluded	24448	120	300	122327	300.21	Stopped on time limit
cvrp_large_scale	concluded_fast	5760	120	300	1920	4.88	Optimal solution found
cvrp_loose	concluded_fast	0	120	300	0	0.17	Optimal solution found
cvrp_many_small	concluded_fast	4692	120	300	1564	8.85	Optimal solution found
cvrp_medium	concluded_slow	648759	120	240	216253	91.5	Optimal solution found
